feature,importance
sp_rank,15027.951955318451
market_implied_prob,2492.280192375183
market_confidence,1080.2368922233582
combo_winpct,1039.2768092155457
sire_going_winpct,919.5119905471802
field_size,911.1071009635925
or_current,717.7027554512024
sire_dist_winpct,653.8978199958801
sire_cheltenham_winpct,587.2081117630005
pre_price_move,570.126247882843
jockey_winpct_90d,555.0641932487488
weight_carried,553.7584104537964
weight_vs_field_avg,527.4844489097595
days_since_last_run,508.1341881752014
trainer_winpct_90d,492.99550104141235
avg_btn_last3,478.57650089263916
jockey_winpct_30d,449.20089292526245
or_rpr_diff,441.8023281097412
btn_trend_last5,428.29886770248413
or_best_last3,383.0755796432495
trainer_festival_winpct,332.23528146743774
jockey_festival_winpct,332.0598301887512
rpr_current,322.4475111961365
ts_current,309.7618498802185
or_trend_last5,261.7271008491516
rpr_best_last3,255.25425004959106
trainer_winpct_30d,236.49169969558716
market_rank,225.68528127670288
trainer_winpct_14d,167.92097806930542
jockey_winpct_14d,163.09329080581665
pct_jumping_issues,155.47935104370117
days_since_last_win,152.38384103775024
age_at_race,146.6176791191101
chase_starts,146.5050220489502
place_rate_overall,132.69890022277832
win_rate_dist_band,125.77972030639648
dominant_style_code,123.5097599029541
pct_trouble,122.65262985229492
distance_band,114.1168417930603
race_class_num,112.49731922149658
hurdle_starts,111.4491195678711
win_rate_overall,101.35933208465576
place_rate_track_direction,101.08241891860962
dnf_rate_last5,98.360671043396
going_bucket,87.45129013061523
or_best_last5,84.12099075317383
win_rate_course,76.75817012786865
rpr_best_last5,73.71673011779785
career_runs,57.140220165252686
track_direction_encoded,54.120299339294434
career_places,54.087238788604736
runs_last_365d,50.836790561676025
win_rate_track_direction,33.76315927505493
race_type_encoded,30.394890308380127
runs_last_90d,25.011799812316895
is_grade2,16.074440002441406
class_change,11.19849967956543
headgear_changed,8.327400207519531
course_dist_winner,8.308039665222168
first_time_headgear,7.587790012359619
career_wins,0.0
is_grade1,0.0
is_grade3,0.0
is_handicap,0.0
win_rate_going_bucket,0.0
